Strategy,Avg_Mean_Change_%,Avg_Std_Change_%,Max_Mean_Change_%
MICE (iter=10),0.8997391302677542,6.616939166588351,7.2258157050993175
MICE (iter=20),0.8997391302677542,6.616939166588351,7.2258157050993175
MICE (iter=50),0.8997391302677542,6.616939166588351,7.2258157050993175
KNN (k=20),1.8304599755668178,6.711114355289984,11.608995645941256
KNN (k=15),1.885075004474477,6.5800863376526815,12.245061437673158
KNN (k=10),1.9078500587055922,6.356378988962366,12.816292379728516
MICE (RF),1.9435399321423392,5.349218484562879,11.351246869554881
KNN (k=7),1.9803027420677577,6.058285110279794,12.914921503013638
KNN (k=3),2.1648641076246395,4.654681088106951,12.18686190353757
KNN (k=5),2.184335759948926,5.719402469782716,13.651825321687017
Hybrid (Median+KNN),3.0359252178756373,5.928130613738117,31.301538474592732
