Feature,Original_Mean,KNN_Change_%,MICE_Change_%,XGB_NoScale_Change_%,XGB_Scaled_Change_%,Best_Method,Best_Change_%
Sex,0.5731182795698925,0.0,0.0,0.0,0.0,KNN,0.0
Age,60.932133463049034,0.23968572550198183,0.06068983487123779,0.3049730892562127,0.2929990566429576,MICE,0.06068983487123779
CA,2.215060065574559,0.24563664342111885,0.014487171181624193,0.04407843772792706,0.03254321649402948,MICE,0.014487171181624193
CK,181.6435504044318,13.71082836163473,3.380335901779261,5.526799919307502,6.93163124195136,MICE,3.380335901779261
CREA,1.161565047131769,0.6202574845629952,0.037108418086762185,0.9941990880237749,1.01470718014992,MICE,0.037108418086762185
ALP,88.53851426292393,2.2053131905716725,1.046222661878225,0.8736808198783921,0.8169174959803481,XGB_Scaled,0.8169174959803481
GGT,66.2169582725923,6.416197624506566,1.974670986973435,4.352224654109742,4.020633718282396,MICE,1.974670986973435
GLU,119.03531917817459,0.2392751270004571,0.1720357445478248,0.3777532162573469,0.445866642820861,MICE,0.1720357445478248
AST,45.85432776421857,0.8788030893882868,0.16540335370289205,0.9258681415392909,1.0655475025042915,MICE,0.16540335370289205
ALT,39.17471781462195,0.49736077010370866,0.007109907036496986,0.04307458446565856,0.13675525741329944,MICE,0.007109907036496986
LDH,327.6412741711096,2.1100290122443854,0.9189228260868659,1.5130067293658325,1.5934835386042723,MICE,0.9189228260868659
PCR,67.0976138393734,1.9541482506295786,1.0743431927338076,2.638635878943296,2.232416487347568,MICE,1.0743431927338076
KAL,4.232018217961352,0.11977134411090655,0.015247695567162056,0.05222279770263436,0.027410788689343456,MICE,0.015247695567162056
NAT,138.58737910847864,0.005212919046268803,0.0005799660813934048,0.009133149589922356,0.012930681924792782,MICE,0.0005799660813934048
UREA,48.9618528955,1.0113584189428648,7.2258157050993175,7.310153191175138,7.3392701268034575,KNN,1.0113584189428648
WBC,8.723710664911536,0.4489774260845042,0.0032252592472268187,0.012744573261061248,0.12342797511899814,MICE,0.0032252592472268187
RBC,4.522348913156007,0.08303751826186812,0.003391929775597336,0.040188002163308895,0.033429717239149837,MICE,0.003391929775597336
HGB,13.135426587753138,0.034410569989585256,0.0029406957026354495,0.04160558525845084,0.03554918710812584,MICE,0.0029406957026354495
HCT,39.21445977910341,0.06834198499650279,0.0007524945263931501,0.006035675955255165,0.00355650371924361,MICE,0.0007524945263931501
MCV,87.2850970607113,0.015646864426243884,0.0016681072442526121,0.05529525080324708,0.052993361659363594,MICE,0.0016681072442526121
MCH,29.210839037794383,0.05442332432225082,0.000994784785016347,0.020793932746604984,0.007339641248762975,MICE,0.000994784785016347
MCHC,33.45316442901972,0.036383540400777015,0.0010360836561900523,0.040318234801155726,0.05345377413769261,MICE,0.0010360836561900523
PLT1,235.66232104867305,0.025391226190549475,0.04375406869084918,0.37446554198050863,0.2696856044891844,KNN,0.025391226190549475
NE,72.34663350256187,0.9877460371061084,0.008676810339990541,0.36896765102258533,0.38874061994685916,MICE,0.008676810339990541
LY,18.581279469149926,2.6656892006660886,0.009956895664542255,0.8252444801101334,0.9194847522717816,MICE,0.009956895664542255
MO,7.832528104074235,1.5882691618888247,0.003296326672843768,1.9170273177863524,1.776110122410439,MICE,0.003296326672843768
EO,0.8822169543631733,9.820590827717485,0.5832621931886877,1.7114719798591151,1.8154740269287206,MICE,0.5832621931886877
BA,0.3395593400640466,2.7529173720808644,0.3788741950034255,2.5468031916894622,2.7067203157451107,MICE,0.3788741950034255
NET,6.451065137374818,1.5120781938030647,2.022033182767268,0.557494100061434,0.7712120485530037,XGB_NoScale,0.557494100061434
LYT,1.367031244389374,3.4710212421283813,1.6655665173840823,5.4863578806018785,5.528124450122578,MICE,1.6655665173840823
MOT,0.622232414360262,1.7215409989887318,1.692282978647904,5.569504984335043,5.4556837139792735,MICE,1.692282978647904
EOT,0.06694209393304222,10.687326962698208,2.1129741757915688,3.1303523226410603,2.7699982321843706,MICE,2.1129741757915688
BAT,0.016277553516011643,4.316630349999506,4.1639921038533885,11.957563164050692,11.973267918485336,MICE,4.1639921038533885
