Method,Samples,Removed,Removed_%,CV_AUC,CV_AUC_Std,CV_Accuracy,CV_Accuracy_Std,CV_Precision,CV_Recall,CV_F1
IsolationForest (c=0.15),1475,261,15.034562211981568,0.8956290604842424,0.006144470100761498,0.8216949152542373,0.01105729249511868,0.8205516705516706,0.8025633232016212,0.8110425601578871
EllipticEnvelope (c=0.1),1562,174,10.023041474654377,0.8938783103869831,0.006797808116285039,0.8226693700335872,0.00883121518410489,0.8161953585780315,0.8027397260273972,0.8086567113129585
LocalOutlierFactor (c=0.1),1562,174,10.023041474654377,0.8925373547343339,0.011320212032821065,0.8245822069304498,0.012891552234106799,0.827215448159629,0.7917808219178083,0.8081878166258472
Z-score (threshold=2.5),1176,560,32.25806451612903,0.8908289537997092,0.01960494534461659,0.8239740353407861,0.018420918116557283,0.8232112270430028,0.8098897686694613,0.8159236070880326
IsolationForest (c=0.05),1649,87,5.011520737327189,0.8899303179085158,0.018947730971371424,0.8199097356544165,0.02332033771299903,0.8171542689795434,0.7981803143093467,0.807222989176179
Z-score (threshold=3.5),1479,257,14.80414746543779,0.8895101531989219,0.010691797509963151,0.8174461749885479,0.01127250006610739,0.8109391702189928,0.7991675231243577,0.8048260564040115
EllipticEnvelope (c=0.05),1649,87,5.011520737327189,0.8881815459101097,0.007038293249611559,0.8241484756378373,0.01312852417180638,0.8249227414412431,0.8031765474440634,0.8123273010759501
EllipticEnvelope (c=0.15),1475,261,15.034562211981568,0.887391279783996,0.014541549850132292,0.8142372881355933,0.014123841800677724,0.8069253596340262,0.7921929546175818,0.7990421772400518
Z-score (threshold=3.0),1346,390,22.465437788018434,0.8871376157980098,0.010969038015639268,0.8157593281013356,0.018355129996287863,0.8131987565758012,0.797250484496124,0.8047621283679669
LocalOutlierFactor (c=0.15),1475,261,15.034562211981568,0.8856092941652486,0.01394809407780224,0.8101694915254237,0.022790150934198786,0.8048746804546486,0.7850312070242251,0.7938689816462453
Baseline (No Removal),1736,0,0.0,0.8847467861348391,0.018447299252751438,0.8202755970717812,0.014771690097518974,0.8205416250863922,0.7917177914110429,0.8050062002301847
IsolationForest (c=0.1),1562,174,10.023041474654377,0.8836021465530257,0.015002646593728653,0.8175350208896536,0.02351008544057538,0.8159763591841459,0.8005011185682326,0.8077908117535479
LocalOutlierFactor (c=0.05),1649,87,5.011520737327189,0.8772547274749722,0.009792754893117659,0.8023137146541401,0.010578314422018072,0.7987785602556468,0.7754838709677419,0.7866702379745858
