model,normalization,accuracy,precision,recall,f1_score,roc_auc,training_time_s
XGBoost,None,0.9369747899159664,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9717261904761906,0.10972166061401367
RandomForest,None,0.9243697478991597,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9707695578231292,0.3948357105255127
GradientBoosting,None,0.9033613445378151,0.905511811023622,0.9126984126984127,0.9090909090909091,0.9494756235827665,0.3170151710510254
ExtraTrees,None,0.907563025210084,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.9782100340136054,0.30580639839172363
LightGBM,None,0.9117647058823529,0.9133858267716536,0.9206349206349206,0.9169960474308301,0.9652777777777778,0.10807943344116211
LogisticRegression,None,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.905187074829932,0.2856941223144531
DecisionTree,None,0.8781512605042017,0.9145299145299145,0.8492063492063492,0.8806584362139918,0.8799603174603176,0.0344386100769043
KNN,None,0.7058823529411765,0.7058823529411765,0.7619047619047619,0.732824427480916,0.7872378117913832,0.030659914016723633
SVC_RBF,None,0.7352941176470589,0.7603305785123967,0.7301587301587301,0.7449392712550608,0.8111536281179138,0.2848930358886719
SVC_Poly,None,0.7436974789915967,0.7559055118110236,0.7619047619047619,0.758893280632411,0.8059807256235827,0.1664736270904541
SVC_Sigmoid,None,0.5882352941176471,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6377551020408163,0.2685842514038086
SVC_Linear,None,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.8988095238095238,32.79500722885132
LinearSVC,None,0.8361344537815126,0.8372093023255814,0.8571428571428571,0.8470588235294118,0.905045351473923,0.027434587478637695
XGBoost,StandardScaler,0.9369747899159664,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9717261904761906,0.08945345878601074
RandomForest,StandardScaler,0.9285714285714286,0.9291338582677166,0.9365079365079365,0.932806324110672,0.970734126984127,0.3829033374786377
GradientBoosting,StandardScaler,0.9033613445378151,0.905511811023622,0.9126984126984127,0.9090909090909091,0.9496173469387755,0.3167109489440918
ExtraTrees,StandardScaler,0.907563025210084,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.9782100340136054,0.30031824111938477
LightGBM,StandardScaler,0.8991596638655462,0.8984375,0.9126984126984127,0.905511811023622,0.9611678004535147,0.11428499221801758
LogisticRegression,StandardScaler,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.9040532879818594,0.023540019989013672
DecisionTree,StandardScaler,0.8781512605042017,0.9145299145299145,0.8492063492063492,0.8806584362139918,0.8799603174603176,0.019596576690673828
KNN,StandardScaler,0.8361344537815126,0.8270676691729323,0.873015873015873,0.8494208494208494,0.917906746031746,0.03398394584655762
SVC_RBF,StandardScaler,0.8781512605042017,0.8646616541353384,0.9126984126984127,0.888030888030888,0.9352324263038548,0.19162559509277344
SVC_Poly,StandardScaler,0.8739495798319328,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.9273667800453513,0.13297653198242188
SVC_Sigmoid,StandardScaler,0.7352941176470589,0.7480314960629921,0.753968253968254,0.7509881422924901,0.8353883219954648,0.1506633758544922
SVC_Linear,StandardScaler,0.8361344537815126,0.84251968503937,0.8492063492063492,0.8458498023715415,0.8978174603174603,0.16626739501953125
LinearSVC,StandardScaler,0.8319327731092437,0.8359375,0.8492063492063492,0.84251968503937,0.9041241496598639,0.03409695625305176
XGBoost,MinMaxScaler,0.9369747899159664,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9717261904761906,0.08748269081115723
RandomForest,MinMaxScaler,0.9243697478991597,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.970734126984127,0.37854909896850586
GradientBoosting,MinMaxScaler,0.9033613445378151,0.905511811023622,0.9126984126984127,0.9090909090909091,0.9494756235827665,0.30047607421875
ExtraTrees,MinMaxScaler,0.907563025210084,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.9782100340136054,0.34917235374450684
LightGBM,MinMaxScaler,0.9117647058823529,0.9133858267716536,0.9206349206349206,0.9169960474308301,0.9652777777777778,0.10065913200378418
LogisticRegression,MinMaxScaler,0.8319327731092437,0.8359375,0.8492063492063492,0.84251968503937,0.9043367346938775,0.03952813148498535
DecisionTree,MinMaxScaler,0.8781512605042017,0.9145299145299145,0.8492063492063492,0.8806584362139918,0.8799603174603176,0.023088455200195312
KNN,MinMaxScaler,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.9139030612244898,0.03313398361206055
SVC_RBF,MinMaxScaler,0.8529411764705882,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.9236819727891157,0.1875319480895996
SVC_Poly,MinMaxScaler,0.8529411764705882,0.864,0.8571428571428571,0.8605577689243028,0.9173044217687074,0.18948960304260254
SVC_Sigmoid,MinMaxScaler,0.3697478991596639,0.4090909090909091,0.42857142857142855,0.4186046511627907,0.6940192743764173,0.3331177234649658
SVC_Linear,MinMaxScaler,0.8445378151260504,0.8503937007874016,0.8571428571428571,0.8537549407114624,0.9019274376417233,0.11599278450012207
LinearSVC,MinMaxScaler,0.8361344537815126,0.8372093023255814,0.8571428571428571,0.8470588235294118,0.9047619047619048,0.020734310150146484
