Feature,Missing_Pct,KNN_Change_Pct,MICE_Change_Pct,Hybrid_Change_Pct,Hybrid_Method
NAT,4.205069124423963,0.0028383933888475876,0.0005799660813934048,0.0005799660813934048,MICE
MCV,3.6290322580645165,0.0006999883810886004,0.0016681072442526121,0.0006999883810886004,KNN
HCT,3.6290322580645165,0.05005680704668271,0.0007524945263931501,0.0007524945263931501,MICE
MCH,3.6290322580645165,0.038097850563574,0.000994784785016347,0.000994784785016347,MICE
MCHC,3.6290322580645165,0.03532072518619,0.0010360836561900523,0.0010360836561900523,MICE
HGB,3.6290322580645165,0.016480919924534616,0.0029406957026354495,0.0029406957026354495,MICE
WBC,3.6290322580645165,0.38220313817761586,0.0032252592472268187,0.0032252592472268187,MICE
MO,20.852534562211982,1.3193192791303012,0.003296326672843768,0.003296326672843768,MICE
RBC,3.6290322580645165,0.04866003068689409,0.003391929775597336,0.003391929775597336,MICE
ALT,5.529953917050691,0.331482925496865,0.007109907036496986,0.007109907036496986,MICE
NE,20.852534562211982,0.9265252125196721,0.008676810339990541,0.008676810339990541,MICE
LY,20.852534562211982,2.7188400741508993,0.009956895664542255,0.009956895664542255,MICE
CA,5.357142857142857,0.21708470353905543,0.014487171181624193,0.014487171181624193,MICE
KAL,4.6082949308755765,0.10014508303569601,0.015247695567162056,0.015247695567162056,MICE
PLT1,3.6290322580645165,0.023743606010503203,0.04375406869084918,0.023743606010503203,KNN
CREA,4.262672811059908,0.6735028805654786,0.037108418086762185,0.037108418086762185,MICE
Age,3.110599078341014,0.19936550207646833,0.06068983487123779,0.06068983487123779,MICE
AST,5.64516129032258,0.996839267174827,0.16540335370289205,0.16540335370289205,MICE
GLU,5.64516129032258,0.45078547169729755,0.1720357445478248,0.1720357445478248,MICE
BA,20.852534562211982,1.703490774264225,0.3788741950034255,0.3788741950034255,MICE
EO,20.852534562211982,6.606020166593252,0.5832621931886877,0.5832621931886877,MICE
MOT,20.852534562211982,0.6441926865672986,1.692282978647904,0.6441926865672986,KNN
LDH,17.453917050691246,1.6582189170249937,0.9189228260868659,0.9189228260868659,MICE
ALP,27.30414746543779,2.550850815611279,1.046222661878225,1.046222661878225,MICE
PCR,5.587557603686636,1.9737383059561444,1.0743431927338076,1.0743431927338076,MICE
LYT,20.852534562211982,2.527217065195028,1.6655665173840823,1.6655665173840823,MICE
NET,20.852534562211982,1.9142201211866556,2.022033182767268,1.9142201211866556,KNN
GGT,25.115207373271893,5.647932804545168,1.974670986973435,1.974670986973435,MICE
EOT,20.852534562211982,6.4470347075623335,2.1129741757915688,2.1129741757915688,MICE
BAT,20.852534562211982,2.450979400160385,4.1639921038533885,2.450979400160385,KNN
CK,59.44700460829493,11.608995645941256,3.380335901779261,3.380335901779261,MICE
UREA,38.94009216589861,4.309835948777737,7.2258157050993175,4.309835948777737,KNN
